"Home \ Away","ALD","B&BA","B&HA","BRI","BRR","COL","CRY","EXE","GIL","IPS","LEY","MIL","NPC","NOR","NWC","NOT","PLY","PTV","REA","STD","SWI","TOR","WAL","WAT"
"Aldershot","","0–1","0–0","0–0","1–1","2–0","3–0","4–2","2–4","0–1","3–1","2–1","3–1","3–0","1–1","1–0","2–2","2–0","1–1","2–2","0–1","1–0","3–0","1–1"
"Bournemouth & Boscombe Athletic","4–0","","2–2","1–0","2–0","2–0","5–0","1–1","3–1","2–1","5–0","1–0","2–0","1–0","0–0","3–2","0–2","3–1","1–0","3–1","2–1","0–0","3–1","3–3"
"Brighton & Hove Albion","1–2","2–1","","1–1","2–2","3–1","1–0","4–1","2–2","4–0","3–0","2–3","9–1","5–1","1–1","1–2","0–6","2–2","1–1","2–1","1–0","2–2","1–0","1–1"
"Bristol City","1–1","2–0","2–0","","1–0","0–2","2–0","3–1","2–0","2–1","4–1","2–1","2–1","1–0","2–2","0–3","1–0","3–1","3–3","0–3","2–0","0–2","3–3","3–0"
"Bristol Rovers","3–0","2–0","3–2","2–1","","1–1","1–1","3–1","3–0","1–1","2–1","1–0","1–0","1–1","3–3","0–2","3–1","2–0","4–0","4–1","1–0","1–1","1–1","3–0"
"Colchester United","1–0","4–1","4–1","1–1","0–0","","1–0","0–1","4–2","2–3","1–0","3–0","1–1","2–1","2–3","0–2","3–0","1–1","1–1","1–3","4–1","3–1","0–1","4–1"
"Crystal Palace","0–2","0–1","0–2","1–0","1–0","1–3","","0–1","4–3","1–3","1–1","1–1","1–1","0–0","0–5","1–6","0–1","0–2","0–3","0–2","2–0","2–1","1–0","1–1"
"Exeter City","3–0","2–1","4–2","1–0","0–2","5–0","1–2","","1–2","2–0","0–0","0–1","2–2","1–0","1–2","0–5","3–2","0–3","1–3","1–0","1–0","0–0","1–0","3–3"
"Gillingham","3–0","2–2","1–1","1–2","1–0","0–0","0–0","9–4","","0–1","1–0","4–3","0–1","3–1","2–2","1–4","1–2","1–1","0–3","0–0","2–1","2–0","4–1","3–1"
"Ipswich Town","5–2","1–0","3–0","2–0","2–3","3–0","1–1","1–0","5–1","","2–2","2–1","2–1","1–1","0–1","1–3","2–0","2–2","0–2","1–0","4–1","3–1","3–1","2–1"
"Leyton Orient","1–0","2–0","2–1","0–2","1–0","1–1","2–0","1–3","4–0","2–0","","0–2","0–3","1–0","3–1","0–4","1–2","2–3","2–0","1–1","2–1","5–1","2–1","1–2"
"Millwall","1–0","3–0","1–1","5–3","1–0","2–0","1–0","5–0","4–3","4–0","3–1","","2–4","2–1","1–1","1–1","1–1","2–2","1–3","1–1","1–0","4–1","2–0","4–0"
"Newport County","7–0","1–0","3–0","0–1","2–1","2–0","2–4","0–3","1–0","1–2","0–0","2–3","","2–2","1–1","0–2","2–0","2–1","5–0","6–1","2–1","2–1","3–0","2–2"
"Northampton Town","1–0","0–1","0–0","2–2","1–1","2–1","2–0","4–1","4–1","2–1","3–3","1–2","1–4","","1–2","2–2","1–3","1–1","1–1","1–1","1–2","1–0","1–1","6–0"
"Norwich City","2–2","3–0","1–1","0–0","2–0","1–1","3–1","3–0","2–0","1–3","3–1","2–1","2–1","0–0","","2–0","1–0","2–0","2–1","3–0","2–0","1–1","1–0","3–1"
"Nottingham Forest","7–0","1–0","4–0","0–0","2–1","0–0","1–0","2–2","9–2","0–0","0–1","2–0","2–1","2–2","4–2","","4–1","2–1","1–1","3–0","2–1","3–1","4–0","2–1"
"Plymouth Argyle","5–1","3–1","3–3","2–0","0–0","7–1","4–0","0–1","2–0","2–1","2–1","2–2","1–1","4–1","2–1","0–2","","1–0","2–0","2–0","5–1","1–0","1–1","3–1"
"Port Vale","3–1","3–1","0–1","1–3","0–0","1–1","2–2","2–0","4–3","1–0","3–1","0–1","1–0","0–3","2–1","1–1","2–0","","0–0","3–1","2–1","1–0","1–1","2–1"
"Reading","7–1","0–0","7–0","4–2","0–0","3–2","1–1","4–2","1–1","2–0","4–0","1–1","5–0","2–0","3–1","0–2","4–0","3–0","","0–2","3–1","0–0","2–1","1–0"
"Southend","4–2","6–1","3–1","1–1","1–1","4–2","5–2","5–1","4–0","1–0","0–1","0–3","3–0","3–0","0–2","3–2","1–0","1–1","3–3","","8–2","3–0","0–1","5–1"
"Swindon Town","4–0","2–1","0–0","1–0","1–2","1–1","2–0","1–0","2–0","2–0","2–0","0–1","2–0","1–0","1–0","2–3","1–2","2–1","1–1","4–1","","2–1","1–1","3–2"
"Torquay United","1–2","0–2","3–1","4–1","1–2","4–1","4–1","2–0","1–2","0–1","2–1","2–1","3–4","1–1","1–5","3–2","1–3","3–2","2–1","2–2","1–0","","3–2","3–2"
"Walsall","3–1","0–1","1–0","3–1","1–2","4–2","0–0","0–2","2–1","2–0","1–1","4–0","0–0","1–0","0–1","0–2","1–1","2–0","1–2","1–2","1–0","3–1","","1–0"
"Watford","1–2","2–1","1–1","1–2","1–0","2–0","1–0","1–2","5–0","0–2","2–0","0–0","0–2","0–1","0–2","1–1","1–1","2–0","3–1","1–3","1–2","2–2","1–3",""
