"Home \ Away","ACC","BRW","BRA","BPA","CRL","CHE","CHF","CRE","DAR","DER","GAT","GRI","HAL","HAR","MAN","OLD","ROC","SCU","SOU","STP","TRA","WRK","WRE","YOR"
"Accrington Stanley","","2–0","2–0","7–0","1–0","4–0","5–1","5–1","2–1","2–0","2–2","0–1","2–2","1–0","3–1","2–2","3–0","2–0","4–2","3–1","0–0","5–1","3–1","1–3"
"Barrow","3–1","","3–1","2–2","0–0","1–2","3–1","5–0","0–1","1–2","4–0","0–0","2–2","3–2","4–1","4–1","2–0","2–2","0–2","2–0","1–1","2–0","0–3","0–1"
"Bradford City","2–1","1–1","","5–0","0–0","1–1","3–5","3–1","3–0","2–1","3–1","0–2","2–0","2–0","4–2","0–0","2–2","4–3","2–0","4–1","5–0","2–0","4–3","3–1"
"Bradford Park Avenue","1–0","3–2","1–1","","2–1","1–1","0–5","2–0","3–0","2–4","3–1","2–1","1–1","1–3","0–3","4–1","3–3","2–0","0–3","2–0","4–5","4–0","4–2","2–1"
"Carlisle United","0–4","2–0","0–0","4–1","","4–1","1–1","4–1","2–0","0–3","2–1","1–2","2–2","0–3","5–2","3–1","1–2","1–2","4–0","4–1","0–3","2–4","0–1","3–1"
"Chester","1–1","1–0","1–1","0–0","3–3","","2–1","0–0","2–1","2–5","3–0","2–0","1–0","0–1","4–3","3–2","0–0","3–5","1–3","1–4","0–0","1–0","2–1","2–2"
"Chesterfield","0–1","2–0","1–1","5–1","2–1","2–1","","8–0","2–1","2–0","3–0","1–0","3–0","2–3","2–1","1–0","7–2","2–0","5–1","2–3","2–0","2–4","2–0","3–1"
"Crewe Alexandra","0–3","0–1","1–4","4–2","3–1","0–0","0–3","","1–1","2–1","1–0","0–0","1–4","1–3","2–1","1–2","2–0","1–2","1–1","3–1","4–0","2–1","1–2","1–2"
"Darlington","2–0","4–2","1–1","4–1","3–5","0–1","2–1","4–1","","1–0","0–0","0–1","1–2","0–0","3–1","2–1","2–0","1–0","0–1","0–0","6–2","2–2","2–2","1–4"
"Derby County","6–2","2–1","4–1","4–0","3–0","3–1","3–0","3–3","6–2","","4–1","1–3","4–1","3–2","4–0","2–0","2–0","2–2","2–0","2–0","0–0","2–2","2–0","3–2"
"Gateshead","4–0","3–2","4–1","3–0","2–3","1–1","3–3","4–1","0–1","2–4","","2–0","1–1","2–1","3–0","1–3","4–1","1–0","2–0","2–1","3–3","4–3","2–1","3–2"
"Grimsby Town","3–0","3–0","2–0","2–0","1–0","6–1","3–0","5–1","1–0","2–1","3–1","","4–0","1–0","2–0","5–1","1–1","0–1","2–0","3–0","1–0","1–2","1–0","2–1"
"Halifax Town","2–0","1–0","3–2","6–0","2–2","0–1","3–0","2–0","3–0","2–2","3–3","0–1","","0–2","1–1","5–1","1–1","0–3","0–1","1–0","0–2","2–0","1–1","2–4"
"Hartlepools United","0–0","1–0","1–0","3–1","3–0","3–1","3–0","6–1","3–0","2–0","3–1","1–2","3–2","","4–2","1–0","1–0","0–2","1–0","0–0","4–0","1–0","3–2","0–1"
"Mansfield Town","3–2","4–0","0–0","5–0","0–1","3–0","0–1","1–1","3–3","1–1","3–1","0–2","3–1","5–1","","2–0","6–0","3–2","0–1","2–2","6–0","0–0","6–1","3–1"
"Oldham Athletic","1–3","6–1","1–1","5–1","2–2","4–1","2–2","1–1","3–3","1–1","1–2","1–1","1–3","3–2","1–1","","2–2","2–1","1–1","3–2","4–1","0–1","1–1","2–2"
"Rochdale","1–1","5–1","3–1","4–2","5–2","4–2","1–5","1–0","1–0","0–5","1–1","2–0","2–1","1–4","1–1","4–4","","3–2","1–3","0–0","1–3","1–0","1–0","3–1"
"Scunthorpe & Lindsey United","2–3","2–0","2–0","4–2","4–0","2–1","2–0","1–1","0–1","0–2","1–1","0–1","1–0","5–1","3–0","2–1","1–2","","0–1","1–5","2–1","3–1","1–1","1–1"
"Southport","1–1","2–1","3–1","3–0","3–0","1–0","1–0","5–0","0–1","2–5","2–0","2–0","2–0","0–0","1–1","1–1","2–0","2–2","","1–1","1–0","0–0","1–1","3–3"
"Stockport County","1–2","4–1","1–0","0–0","8–1","2–1","2–1","2–1","2–1","2–1","1–2","0–0","3–1","4–0","7–2","0–0","0–0","3–2","4–0","","7–0","4–5","4–0","4–1"
"Tranmere Rovers","4–1","1–1","1–1","4–1","0–1","4–0","0–1","2–1","0–1","0–1","1–1","0–1","2–1","2–2","1–0","0–3","2–1","2–1","1–2","2–1","","2–0","0–2","2–1"
"Workington","0–0","6–1","2–1","4–0","4–0","0–0","0–1","1–0","2–0","0–3","6–1","0–0","2–0","5–1","2–1","4–3","0–1","1–2","2–3","0–1","3–0","","3–1","0–0"
"Wrexham","1–4","0–0","2–1","1–0","5–2","0–0","3–0","4–2","2–1","3–1","1–1","1–0","1–2","1–3","2–0","1–1","0–0","0–1","2–1","0–1","3–1","0–1","","4–5"
"York City","0–1","3–2","0–2","5–0","3–1","3–0","3–1","1–1","4–0","1–0","1–0","3–4","5–0","3–0","1–1","2–0","1–2","0–0","0–1","1–0","2–4","1–1","1–3",""
