"Home \ Away","BOU","BAR","BRA","BRE","CAM","CRE","DAR","DON","EXE","HAR","HUD","LIN","NPC","NOR","REA","ROC","SCU","SOU","STP","SWA","TOR","TRA","WAT","WRK"
"AFC Bournemouth","","1–1","2–1","3–0","3–0","1–0","1–2","0–1","1–0","4–2","1–0","1–1","2–0","0–0","0–1","2–1","1–0","3–3","2–0","2–0","0–0","4–2","4–1","1–0"
"Barnsley","2–0","","1–1","1–1","4–0","1–1","1–0","0–1","0–0","3–1","2–3","0–1","3–1","3–1","4–2","2–1","1–0","2–0","2–2","0–0","0–0","1–0","1–0","0–0"
"Bradford City","0–1","2–1","","1–1","1–2","4–1","2–0","3–4","0–0","1–2","2–2","1–5","3–0","1–2","1–1","3–0","0–0","1–1","1–2","0–0","3–1","3–0","1–0","1–0"
"Brentford","1–2","1–0","2–2","","0–0","0–0","3–0","0–1","5–1","1–1","0–0","1–0","1–3","2–1","2–2","3–0","5–2","1–0","2–1","1–0","1–1","0–1","1–0","4–0"
"Cambridge United","0–1","1–1","0–0","2–1","","1–1","1–0","3–3","0–1","4–0","0–0","2–4","0–1","0–1","2–2","0–0","2–2","2–2","0–1","3–1","2–1","3–3","4–1","4–1"
"Crewe Alexandra","1–0","1–1","1–3","1–0","1–2","","2–0","1–2","0–0","0–0","0–2","2–3","4–0","0–1","3–3","0–0","1–0","4–0","3–1","2–1","6–0","1–0","2–2","0–0"
"Darlington","2–0","2–0","2–2","2–0","1–1","0–0","","2–2","0–0","1–2","0–3","0–0","4–0","0–1","0–1","4–0","2–0","2–0","0–1","1–1","1–0","2–0","1–0","1–0"
"Doncaster Rovers","1–1","2–2","1–1","1–1","0–2","3–1","3–2","","0–0","3–0","4–1","2–4","5–1","0–4","1–1","1–2","0–1","5–2","3–1","2–1","0–1","3–0","1–2","1–0"
"Exeter City","1–0","2–0","0–0","0–0","1–2","2–2","1–1","1–0","","3–1","4–1","0–0","3–0","0–0","4–1","1–0","5–4","2–0","2–0","3–0","0–0","0–2","1–3","1–0"
"Hartlepool","1–1","1–0","2–2","1–0","2–2","1–3","2–3","2–1","2–1","","1–1","2–2","4–1","3–0","2–4","3–0","1–2","0–0","3–0","1–0","0–1","1–2","2–1","0–2"
"Huddersfield Town","0–0","1–2","0–0","2–1","2–0","1–0","1–0","1–2","0–1","2–0","","0–1","2–1","1–1","3–0","0–0","1–1","1–2","2–2","2–0","2–3","1–0","1–0","2–0"
"Lincoln City","1–0","2–1","4–2","3–1","3–0","2–0","2–1","5–0","4–1","3–0","0–0","","4–1","3–1","3–1","2–0","3–0","6–0","2–0","4–0","4–2","2–2","5–1","4–1"
"Newport County","3–1","1–0","3–1","1–0","2–0","2–2","4–1","2–3","3–3","0–1","1–2","3–1","","1–1","0–0","1–1","0–0","2–0","2–2","1–2","0–2","1–5","0–2","2–3"
"Northampton Town","6–0","5–0","4–2","3–1","4–2","2–1","3–2","2–1","3–1","5–2","1–1","1–0","3–0","","4–1","1–1","2–1","1–0","4–0","0–0","2–2","1–1","3–0","2–1"
"Reading","2–1","0–0","2–1","1–0","1–0","3–1","4–1","0–1","4–3","1–0","2–0","1–1","1–0","1–0","","2–0","1–0","1–0","5–0","1–0","0–0","5–0","3–0","1–0"
"Rochdale","2–2","0–0","0–0","1–2","1–1","0–1","1–0","1–0","0–1","1–1","0–0","0–0","4–3","0–2","0–0","","1–1","2–0","2–3","2–1","2–2","4–1","2–1","1–1"
"Scunthorpe United","2–0","1–0","2–0","2–1","0–1","1–0","2–1","2–1","0–1","5–1","0–1","0–2","1–2","0–2","2–1","1–3","","1–2","0–0","1–1","3–1","2–2","0–1","3–0"
"Southport","0–2","0–0","1–2","2–0","2–4","2–2","2–0","1–1","1–0","2–4","1–2","1–2","3–0","0–1","1–2","0–1","1–1","","2–0","1–1","1–3","0–0","1–2","2–1"
"Stockport County","0–0","1–1","2–1","2–0","0–1","0–0","0–0","1–2","2–1","2–0","0–1","0–3","0–1","1–3","1–1","0–1","0–0","1–0","","3–2","1–0","0–2","2–2","4–1"
"Swansea City","1–1","3–1","3–1","2–2","1–0","4–0","2–0","2–1","0–3","3–1","1–1","2–2","2–2","1–1","5–1","1–1","2–0","2–0","5–0","","3–0","1–1","4–2","1–0"
"Torquay United","2–1","2–0","1–0","2–3","0–0","2–1","2–4","2–2","1–0","1–1","1–3","2–2","1–1","0–1","0–0","1–0","1–0","2–1","4–1","0–2","","2–1","1–0","1–0"
"Tranmere Rovers","2–0","1–0","3–3","5–1","3–2","2–1","2–0","2–2","1–1","1–2","3–0","2–0","3–1","2–0","2–0","0–1","2–1","1–0","5–0","3–0","7–1","","3–0","6–0"
"Watford","1–1","1–0","3–0","3–2","1–0","2–1","2–0","2–1","2–0","2–1","0–2","1–3","3–1","0–1","2–1","3–0","1–0","2–0","1–1","2–1","0–0","2–2","","2–0"
"Workington","1–3","1–7","0–3","1–1","1–0","0–3","0–0","3–1","1–0","1–2","0–2","0–3","1–2","1–0","0–2","0–0","2–3","2–1","1–2","1–1","1–3","0–1","1–3",""
