"Home \ Away","AST","BAR","BIR","BLB","BOU","BRA","CRY","HUD","HUL","IPS","LEE","LEI","MCI","MID","MIL","OLD","PLY","REA","SHU","SHR","STK","SWI","WBA"
"Aston Villa","","0–0","0–2","1–1","1–1","1–0","4–1","1–1","5–0","1–0","1–2","2–1","1–1","0–1","1–2","1–2","5–2","2–1","1–1","1–0","0–1","2–1","0–0"
"Barnsley","1–3","","2–2","0–1","2–1","3–0","2–1","1–0","1–3","2–3","1–1","1–1","3–1","0–3","4–1","1–1","2–1","5–2","1–2","2–1","5–2","0–1","3–1"
"Birmingham City","1–2","2–0","","1–0","1–1","1–1","0–6","2–0","1–1","1–0","0–0","2–2","0–3","0–0","1–0","1–3","0–1","2–2","1–0","0–0","2–0","1–1","0–1"
"Blackburn Rovers","3–2","0–1","2–0","","3–1","1–1","2–0","2–2","2–1","1–0","1–1","3–3","2–1","0–2","2–1","1–0","1–1","1–1","4–1","2–2","2–0","0–0","3–1"
"Bournemouth","1–2","1–2","4–2","1–1","","2–0","2–3","0–2","6–2","1–1","0–0","2–3","0–2","0–0","1–2","2–2","2–2","3–0","1–2","2–0","0–0","2–0","3–2"
"Bradford City","2–4","1–1","4–0","2–1","2–0","","2–0","0–1","2–0","2–3","0–0","4–1","2–4","2–0","3–1","5–3","3–1","3–0","2–0","1–1","1–4","2–0","4–1"
"Crystal Palace","1–1","3–2","3–0","2–0","3–0","1–1","","2–1","2–2","1–2","3–0","2–1","2–0","3–1","1–0","3–1","5–1","2–3","2–1","1–2","2–0","2–1","4–1"
"Huddersfield Town","0–1","2–2","2–2","1–2","1–2","1–2","2–2","","0–2","1–2","0–0","1–0","1–0","1–4","2–1","2–2","2–1","0–2","0–2","0–0","0–3","0–3","1–3"
"Hull City","2–1","1–2","2–0","2–2","2–1","0–0","2–1","4–0","","1–0","3–1","2–2","3–1","0–0","0–1","1–0","1–1","2–2","1–2","1–1","0–0","1–4","1–0"
"Ipswich Town","1–1","1–0","1–0","0–2","1–2","4–0","2–3","3–0","2–0","","1–0","0–2","3–0","4–0","1–1","2–0","1–2","2–1","1–0","2–0","2–0","3–2","1–1"
"Leeds United","1–3","0–2","4–1","2–2","3–2","2–0","1–0","3–0","0–2","1–0","","1–0","2–0","2–0","1–2","1–1","1–0","0–0","5–0","2–1","0–0","4–2","1–0"
"Leicester City","0–2","0–0","2–0","1–2","0–1","0–2","4–4","3–0","2–1","1–1","3–2","","1–0","0–0","1–0","4–1","4–0","1–0","1–0","0–1","1–1","3–2","3–0"
"Manchester City","0–2","1–1","3–0","1–2","2–0","2–2","1–3","10–1","2–0","2–0","1–2","4–2","","1–1","4–0","1–2","2–1","2–0","2–3","1–3","3–0","1–1","4–2"
"Middlesbrough","2–1","2–0","1–1","1–1","3–0","1–2","2–1","2–0","1–0","3–1","2–0","1–2","2–1","","1–1","1–0","3–1","0–0","6–0","4–0","2–0","2–3","2–1"
"Millwall","2–1","3–1","3–1","1–4","1–2","0–1","1–1","4–1","2–0","2–1","3–1","1–0","0–1","2–1","","1–1","3–2","3–0","3–1","4–1","2–0","2–2","2–0"
"Oldham Athletic","0–1","1–0","1–2","4–2","2–0","0–2","1–0","3–2","1–2","3–1","1–1","2–0","1–1","3–1","0–0","","0–1","4–2","3–2","2–2","5–1","4–3","2–1"
"Plymouth Argyle","1–3","0–0","1–1","3–0","1–2","2–1","1–3","6–1","3–1","0–0","6–3","4–0","3–2","0–1","1–2","1–0","","1–3","1–0","2–0","3–0","1–0","3–3"
"Reading","0–2","2–1","1–1","0–0","0–0","1–1","2–3","3–2","0–0","1–1","0–1","1–2","0–2","0–0","2–3","3–0","0–1","","2–1","1–0","0–1","0–1","1–2"
"Sheffield United","1–1","1–0","0–2","3–1","0–1","1–2","1–1","2–2","2–1","4–1","2–2","2–1","1–2","0–2","1–2","0–5","1–0","4–1","","0–1","0–0","1–0","0–0"
"Shrewsbury Town","1–2","1–1","0–0","1–2","2–1","2–2","2–0","3–1","2–2","0–0","1–0","0–0","0–0","0–1","0–0","2–3","2–1","0–1","2–0","","0–3","2–1","0–1"
"Stoke City","0–0","3–1","3–1","2–1","1–0","1–2","1–1","1–1","1–1","1–2","2–1","2–1","1–3","1–0","1–2","2–2","1–0","4–2","1–0","1–1","","1–0","3–0"
"Swindon Town","0–0","3–0","0–2","1–2","4–2","2–2","2–2","4–1","0–0","4–2","1–2","3–2","3–4","1–1","0–1","2–0","1–1","4–0","2–0","1–1","3–0","","2–0"
"West Bromwich Albion","0–2","2–2","3–1","0–1","3–0","0–1","1–0","3–2","1–1","2–2","1–4","1–1","1–1","0–0","1–4","0–0","1–0","0–1","4–0","2–1","2–0","1–2",""
